txId,timestamp,type,amount,nameOrig,nameDest,oldbalanceOrig,newbalanceOrig,oldbalanceDest,newbalanceDest
TX000001,2025-01-01 00:00:00,DEBIT,278.45,C5091349,M1848566,5276.43,4997.98,0.0,278.45
TX000002,2025-01-01 00:28:00,CASH_OUT,2713.71,C6672134,C8425149,45203.28,42489.57,114340.64,117054.35
TX000003,2025-01-01 00:30:00,DEBIT,234.1,C8999183,M7913081,5678.49,5444.39,0.0,234.1
TX000004,2025-01-01 01:16:00,CASH_IN,782.52,C7906258,M8630043,7572.64,8355.16,0.0,782.52
TX000005,2025-01-01 01:21:00,CASH_IN,1451.27,C2198058,M4860745,133177.64,134628.91,0.0,1451.27
TX000006,2025-01-01 01:25:00,TRANSFER,93486.15,C6407373,C5747930,46565.05,0.0,975628.45,1069114.6
TX000007,2025-01-01 01:27:00,PAYMENT,100.35,C7069650,M7216461,15034.94,14934.59,0.0,100.35
TX000008,2025-01-01 01:35:00,TRANSFER,198.81,C1289293,C7907400,1665.67,1466.86,56811.11,57009.92
TX000009,2025-01-01 01:56:00,CASH_OUT,434.38,C4841005,C8078673,92872.66,92438.28,93744.98,94179.36
TX000010,2025-01-01 02:08:00,CASH_OUT,3177.59,C3564251,C8628588,4048.22,870.63,38126.51,41304.1
TX000011,2025-01-01 02:14:00,DEBIT,480.61,C4840714,M2661307,7006.87,6526.26,0.0,480.61
TX000012,2025-01-01 02:20:00,CASH_OUT,849.13,C3426689,C1484348,65298.83,64449.7,262999.97,263849.1
TX000013,2025-01-01 03:05:00,CASH_OUT,1113.06,C5960271,C2919136,123342.01,122228.95,52572.02,53685.08
TX000014,2025-01-01 03:34:00,DEBIT,75.23,C7844947,M3180906,129078.68,129003.45,0.0,75.23
TX000015,2025-01-01 03:34:00,CASH_OUT,129.26,C6680114,C2065818,2178.75,2049.49,43019.3,43148.56
TX000016,2025-01-01 03:34:00,CASH_IN,1556.5,C2582524,M6183033,22177.16,23733.66,0.0,1556.5
TX000017,2025-01-01 03:36:00,CASH_OUT,541.62,C8096887,C5456573,147580.25,147038.63,132971.86,133513.48
TX000018,2025-01-01 04:16:00,TRANSFER,297.32,C2264748,C2110460,54969.12,54671.8,96491.64,96788.96
TX000019,2025-01-01 04:25:00,DEBIT,185.68,C3670896,M1771600,7842.98,7657.3,0.0,185.68
TX000020,2025-01-01 05:22:00,PAYMENT,21.07,C6551268,M5311242,16110.07,16089.0,0.0,21.07
TX000021,2025-01-01 05:32:00,CASH_IN,1270.89,C6262632,M6069909,8851.75,10122.64,0.0,1270.89
TX000022,2025-01-01 05:37:00,CASH_OUT,159.83,C1229419,C5785687,228025.05,227865.22,49058.15,49217.98
TX000023,2025-01-01 05:54:00,TRANSFER,5624.78,C1668752,C2921542,336423.66,330798.88,18796.53,24421.31
TX000024,2025-01-01 06:05:00,CASH_IN,735.24,C7374122,M5311242,12726.41,13461.65,0.0,735.24
TX000025,2025-01-01 06:09:00,PAYMENT,11.35,C7685149,M4475523,30209.81,30198.46,0.0,11.35
TX000026,2025-01-01 06:19:00,CASH_OUT,2643.83,C2166941,C7774229,335165.31,332521.48,5972.65,8616.48
TX000027,2025-01-01 06:36:00,PAYMENT,31.09,C9191131,M7022335,86209.31,86178.22,0.0,31.09
TX000028,2025-01-01 06:39:00,CASH_IN,10311.75,C3135534,M3345069,12160.58,22472.33,0.0,10311.75
TX000029,2025-01-01 06:41:00,PAYMENT,987.58,C1649691,M3851852,7770.05,6782.47,0.0,987.58
TX000030,2025-01-01 07:00:00,DEBIT,259.61,C8658158,M7017548,130167.63,129908.02,0.0,259.61
TX000031,2025-01-01 07:12:00,PAYMENT,244.48,C9014965,M2630140,54121.08,53876.6,0.0,244.48
TX000032,2025-01-01 07:16:00,PAYMENT,16.05,C4946066,M7084862,655252.01,655235.96,0.0,16.05
TX000033,2025-01-01 07:21:00,CASH_IN,3397.35,C3320821,M9349470,68247.18,71644.53,0.0,3397.35
TX000034,2025-01-01 07:23:00,DEBIT,150.36,C5089126,M7520395,2849.12,2698.76,0.0,150.36
TX000035,2025-01-01 07:24:00,PAYMENT,209.15,C5668371,M4860745,3515.59,3306.44,0.0,209.15
TX000036,2025-01-01 07:26:00,CASH_IN,9806.28,C2876932,M6069909,13054.03,22860.31,0.0,9806.28
TX000037,2025-01-01 07:42:00,PAYMENT,5.5,C8999183,M5801541,29616.38,29610.88,0.0,5.5
TX000038,2025-01-01 07:43:00,PAYMENT,106.07,C5382463,M5311242,556283.92,556177.85,0.0,106.07
TX000039,2025-01-01 07:43:00,DEBIT,722.96,C5014745,M3851852,60854.63,60131.67,0.0,722.96
TX000040,2025-01-01 07:44:00,CASH_IN,321.74,C3592974,M3049499,27846.97,28168.71,0.0,321.74
TX000041,2025-01-01 07:55:00,PAYMENT,574.91,C2362099,M2060605,31761.8,31186.89,0.0,574.91
TX000042,2025-01-01 07:56:00,CASH_IN,541.69,C5394880,M8736811,34514.45,35056.14,0.0,541.69
TX000043,2025-01-01 08:08:00,PAYMENT,209.84,C3607983,M7010308,9114.81,8904.97,0.0,209.84
TX000044,2025-01-01 08:08:00,CASH_OUT,986.48,C5418934,C6825112,86190.95,85204.47,5158.6,6145.08
TX000045,2025-01-01 08:12:00,PAYMENT,60.73,C2437026,M8583392,143610.27,143549.54,0.0,60.73
